origin_id,origin_name,discovery_date,description,notes
O2366904,Lypso,2045-12-05,A highly hazardous gaseous ice planet,
O6646163,Nirax,2047-09-01,A rocky planet with an underground ocean,
O3270343,Oxna,2046-06-15,A planet with a highly unstable atmosphere,
O3832972,Uzirp,2049-11-30,A planet with high volcanic activity,
O7085856,Zeluna,2053-07-07,A planet with high radiation levels,
O0183790,Lypso,2044-03-14,A highly hazardous gaseous ice planet,
O2988737,Oenebria,2056-10-23,A dark and dense planet with high seismic activity,
O2837285,Therese,2056-10-23,A wet planet with a highly acidic water composition,
O7311600,Teritum,2056-10-23,A planet devoid of organic life and atmosphere,
O7928681,Aronica,2054-11-05,A desert planet with unique geological formations due to extreme temperature fluctuations,
O3764030,Euni,2060-02-14,A frigid and icy planet with unstable terrain caused by seismic disturbances beneath the surface,
O6840813,Nulm,2062-12-28,A swampy planet with a diverse ecosystem but dangerous predators,
O9381854,Sagiria,2069-07-18,A planet with frequent electrical storms,
O7378703,Zogiaxa,2043-04-09,A dusty planet with a unique axis tilt that causes a variety of temperatures,
O7023832,Krytos,2050-04-11,"A large, rocky planet with a dense atmosphere that has led to unique cloud formations",
O2645918,Vylbia,2065-06-09,An ocean planet with extreme tidal forces that create dangerous whirlpools and currents,
O5864926,Xaldor,2049-11-22,"A hot, barren planet with active volcanoes and geothermal activity",
O4127782,Noltria,2074-02-12,"A planet covered in vast, dense forests with a diverse ecosystem",
O5947506,Ziraq,2069-08-20,"A small, icy planet with unique mineral deposits",
O7861272,Zaxtor,2055-09-22,"An arid, rocky planet with vast networks of underground caves",
O5136135,Nebula Vista,2048-05-12,A gaseous planet with a vibrant ring system,
O6309997,Sylira,2060-12-20,A planet covered in vast oceans with a temperate climate and diverse marine life,
O7147846,Gevron,2075-05-01,An icy planet with a highly elliptical orbit and extreme temperature fluctuations,
O3838355,Axiom,2065-11-13,A planet with a thick atmosphere and extreme seismic activity,
O5987986,Nalma,2040-04-08,A planet with a varied topography ranging from massive mountain ranges to vast open plains,
O3546226,Zereth,2044-03-14,"A distant, uninhabitable planet with an extremely harsh climate",
O9943026,Galora,2044-03-14,A planet with a moderate climate and complex ecosystem,
O4538007,Eira,2044-03-14,A cold and barren planet with a unique geological composition,
O1143211,Aviza,2061-02-20,A habitable planet with a diverse range of flora and fauna,
O8748904,Neoma,2062-10-12,A planet with diverse terrain and volcanic activity,
O1100980,Varin,2063-07-14,A planet with a dense atmosphere and intense climate patterns,
O3965629,Nalia,2064-01-07,A planet with large ice caps and subterranean liquid oceans,
O6067432,Candor,2065-04-02,A barren planet with a unique geological structure,
O4906078,Grypthon,2042-11-21,A rocky planet with highly irregular terrain and a severe atmosphere.,
O8135597,Eurifix,2045-06-01,Gas giant with a cloudy and stormy atmosphere and a rocky ring system.,
O1862475,Arithea,2049-12-14,Frozen moon with icy crevasse types,
O7118501,Icaria,2055-08-02,A frigid ice planet with strong magnetic activity,
O4724143,Venera,2055-08-02,A swampy planet with sulfuric acid rain,
O6728390,Corinthea,2055-08-02,A highly irradiated desert planet,
O3291710,Megaclite,2058-04-05,A planet covered in expanse of the ice that is under the control of massive electrical storms,
O6512319,Thasos,2061-12-19,"A large, barren and rocky planet with remarkable geological phenomena and unexplainable electromagnetic anomalies",
O5416457,Azhanti,2070-08-26,A small and acidic planet with highly volatile tectonic activity and immense geysers of superheated gas and liquid,
O2688773,Cocytus,2076-01-01,"A tiny, frigid ice planet with vast internal oceans and erratic rotation",
O2367053,Sisyphus,2080-09-23,"A massive, gas giant planet with violent and fast-moving storms and an array of unique atmospheric phenomena",
O8093344,Zaxxon,2056-01-01,A rocky and barren planet with an toxic atmosphere and very high radiation levels.,
