specimen_id,specimen_name,origin_id,mission_id,threat_level,acquisition_date,notes,description
S2015640,Ashen Locust,O0183790,M2986914,7.6,2050-10-01,Feeds on radioactive minerals.,"The Ashen Locust is a large insectoid creature with a metallic exoskeleton. It is highly territorial and will aggressively defend its radioactive food sources. It can fly great distances and is easily provoked. Additionally, its carapace is highly resistant to most physical damage."
S0340791,Crimson Squid,O0183790,M1730300,9.9,2073-01-05,Capable of producing a toxic gas cloud upon death.,"The Crimson Squid is a massive, blood-red cephalopod with numerous tentacles. It is highly aggressive and attacks any perceived threats on sight. It has a keen sense of smell and can detect prey from miles away. Upon death, it releases a highly toxic gas cloud."
S3510814,Amber Siren,O0183790,M4694538,7.3,2073-05-01,Lures victims with sonic manipulation.,"The Amber Siren is a beautiful and deadly creature that uses sonic manipulation to lure in unsuspecting prey. It resembles a large jellyfish with pulsating, iridescent tentacles. Once it has its prey in range, it uses a powerful electric shock to immobilize and kill them. It is highly adaptable and can thrive in a variety of environments."
S8236850,Phantom Viper,O0183790,M7167181,8.2,2061-06-15,Capable of phasing in and out of reality.,"The Phantom Viper is a snake-like creature that has the ability to phase in and out of reality, making it nearly impossible to detect. It has powerful venom that can cause hallucinations and severe pain. Its bite has been known to cause paralysis, making it a dangerous adversary."
S2719503,Shadow Demon,O0183790,M6727468,9.8,2060-08-15,Can possess and control the minds of weaker life forms.,"The Shadow Demon is a dark entity that can possess and control the minds of weaker life forms. It has a dark, misty appearance and can move through solid objects. It can manipulate reality and create illusions that can drive its prey to insanity. It is highly intelligent and has been observed communicating with other Shadow Demons via an unknown method."
S8989248,Xenomorph,O6840813,M5633985,7.8,2045-07-03,Extremely hostile and dangerous. Has acidic blood.,"The Xenomorph is a highly aggressive and intelligent creature that exhibits a hive mind mentality. Its appearance includes elongated head, sharp-tipped tail, exoskeleton, and double-jointed legs."
S3365836,Spectral Snail,O6840813,M4250325,2.1,2060-01-15,Invisible to the naked eye.,"Small, harmless looking snails; each with long tendrils and a spectral shell. They are difficult to see and have been known to cause mild hallucinations with exposure."
S2221869,Acidic Crawler,O6840813,M6480988,5.5,2066-02-03,Exhibits corrosive properties.,"A small, agile creature that walks on 6 spindly legs. Has the ability to secretes a highly corrosive acid through its skin which quickly melts through most known materials. Its appearance includes a rounded head, sharp mandibles, and multiple eyes."
S4616930,Drifting Leviathan,O1100980,M4991444,4.1,2039-06-15,This creature has a massive maw lined with razor-sharp teeth and can consume prey several times its own size,"The Drifting Leviathan is an enormous aquatic creature that can grow to lengths of up to 50 meters. Its skin is covered in tough, leathery armor, and it has a massive maw lined with razor-sharp teeth that it uses to consume prey several times its own size. Despite its fearsome appearance, the Drifting Leviathan is relatively docile and poses little threat to humanoid life forms. However, its immense size and strength make it difficult to contain and study."
S8879875,Thorned Stalker,O1100980,M4568749,9.2,2042-06-26,This creature has retractable thorn-like appendages that it uses to attack prey and protect itself,"The Thorned Stalker is a highly aggressive predator that primarily feeds on small rodents, insects, and other creatures. It measures approximately 2 meters in length, has a stout, muscular body, and four powerful legs that allow it to move quickly and gracefully through its environment. Its skin is covered in tough, spiky armor, and it has retractable thorn-like appendages on its legs and tail that it uses to attack prey or defend itself against predators. The creature poses an extreme threat to humanoid life forms and must be contained in a specially designed facility."
S1928387,Kraken Spider,O9073365,M3123155,8.3,2068-04-21,Can regenerate its legs if severed.,"The Kraken Spider is a large, arachnid-like creature that can grow up to 5 meters in length. It has multiple legs that it can use to skitter across various surfaces, and it is capable of regenerating any lost limbs. The Kraken Spider has a powerful set of mandibles that it uses to crush and consume its prey. It is a solitary creature that tends to dwell in dark, damp areas and is typically aggressive when disturbed."
S6978744,Janus Jungle Plant,O9073365,M3123155,9.9,2068-05-01,Can release a toxic gas that paralyzes those who inhale it.,"The Janus Jungle Plant is a large, carnivorous plant that can grow up to 10 meters in height. It has multiple thick, vine-like arms that it uses to ensnare and consume its prey. The Janus Jungle Plant is capable of releasing a toxic gas that can paralyze those who inhale it, making it a significant threat to any nearby organisms. It is a highly aggressive and territorial plant that is difficult to contain."
S6439702,Plasma Hopper,O9073365,M3007682,2.1,2071-12-15,Energetic hopper with a brightly colored carapace.,"The Plasma Hopper is a small, energetic creature with a brightly colored carapace. It navigates its environment primarily by hopping, and it feeds on small insects and plant matter. The Plasma Hopper is a relatively harmless creature that does not pose a significant threat to humans. Its primary defense mechanism is to release a burst of plasma from its rear end that it uses to confuse or temporarily blind predators."
S5336080,Void Ray,O9073365,M3007682,7.6,2072-02-10,Feeds on cosmic rays and emits a highly concentrated beam of energy.,"The Void Ray is a sleek, fish-like creature that feeds on cosmic rays and can emit a highly concentrated beam of energy from its mouth. It can use this beam as both a defense mechanism and a tool for hunting. The Void Ray is an elusive and somewhat mysterious creature, with a tendency to dwell in the dark, uncharted regions of space. It is relatively rare, but its destructive capabilities make it a dangerous specimen to encounter."
S6788616,Vortex Beetle,O9073365,M3007682,6.7,2072-01-05,Disrupts nearby electromagnetic fields and generates electrical currents.,"The Vortex Beetle is a small, beetle-like creature with a hard, metallic exoskeleton. It is capable of disrupting nearby electromagnetic fields and generating electrical currents, which it uses to both defend itself and hunt small prey. The Vortex Beetle is a relatively aggressive and territorial creature that can be difficult to contain, due to its small size and ability to blend in with its surroundings."
