mission_id,name,start_date,end_date,commander_id,supervisor_id,description
M6281862,Dying Prophet,2052-09-23,2053-05-01,E6428947,E4232170,Recon mission to investigate reports of a glowing 'rosetta-stone-like' object
M9125616,Gaseous Depths,2055-07-27,,E9537978,E8367340,Exploratory mission to study the atmospheric composition and behavior of gaseous pockets
M9093853,Abyssal Expedition,2064-11-19,2065-07-03,E5085375,E0162206,Mission to investigate the unusual properties of the underground ocean
M6614428,Subterranean Safari,2065-11-15,2066-05-12,E5085375,E4232170,A mission to catalogue the underwater fauna residing in the underground ocean
M2076528,Twister,2046-08-10,2049-04-22,E1783092,E0380472,Mission to study the composition of the planet's atmosphere during its erratic weather patterns
M1071145,Whirlwind,2051-10-02,,E0477498,E8367340,Mission to study the planet's magnetic field during the planet's most intense weather event
M0339092,Volcano Watch,2053-03-05,2054-12-11,E7870753,E4232170,Mission to study the seismic activity and volcanic behavior of the planet
M0623313,Lava Walk,2061-05-07,2062-06-30,E3357916,E8367340,Mission to retrieve samples from the planet's active lava tubes
M0366996,Radiance,2055-12-01,,E8961035,E7947414,Mission to study the impact of the planet's radiation on biological matter
M7025755,Gamma Rays,2067-01-01,2067-04-03,E5085375,E4232170,Mission to collect data on the planet's gamma radiation bursts
M2986914,Dying Prophet,2050-08-11,2050-11-21,E8541698,E7947414,Recon mission to investigate reports of a glowing 'rosetta-stone-like' object
M1730300,Gaseous Depths,2072-03-14,2074-08-29,E8541698,E0380472,Exploratory mission to study the atmospheric composition and behavior of gaseous pockets
M4694538,Lypso's Icy Abyss,2072-05-13,2074-10-27,E7843495,E7947414,Manned expedition to study the properties of the hazardous frozen gases on Lypso's surface.
M7167181,Lypso's Polar Winds,2061-04-05,,E7870753,E7947414,A mission to study the effect of Lypso's polar winds and how it affects the gaseous atmosphere of Lypso
M6727468,Gaseous Flares,2060-07-05,2060-12-13,E1783092,E8367340,A mission to investigate strange electromagnetic radiation patterns detected on the surface of Lypso
M2739748,Dark Terrain,2069-06-23,2070-09-17,E2676502,E7947414,"A treacherous expedition on foot to collect seismic data, analyzing its core"
M4875871,Light Beacon,2072-04-28,2073-08-15,E7843495,E0380472,A predominantly aerial mission featuring digital assessment of the planet terrain for future missions
M7909416,Spectral Trails,2045-08-01,2046-12-13,E8541698,E4232170,Observation of the planet's multiple shadowing phenomena that might be hindering colonization efforts
M1405983,Acid Return,2064-02-20,,E1783092,E4232170,A research mission themed around chemical assessments and disease testinges of aquatic life on the planet.
M0837036,Wet and Able,2073-11-25,2075-04-16,E7245705,E7947414,A mission to assess the risks of acid induced corrosion on tools and equipment required of deep underwater research and work
M3280310,Planetary Guard,2039-05-26,2043-02-03,E7870753,E4232170,Deployment of a team of special operatives to protect researchers and machinery while studying the microbiology of aquatic lifeforms
M2735957,Ghost Data,2046-11-25,2047-03-08,E5085375,E7947414,A mission to analyze the residual gravitational waves found in the virtually stagnant planet.
M2708728,Operation Starlight,2058-06-23,2058-08-03,E5502287,E8367340,"Deployment of a team of special operatives to conduct a surveillance mission, keeping watch over a detected foreign non-sentient humanoids"
M5555961,Empty Echoes,2057-08-10,,E7870753,E0162206,A deep space satellite deployment mission with the primary object of relaying and communicating with other colonies
M2028493,Hot and Dry,2056-03-12,2056-10-18,E8961035,E4232170,Study of erosional features caused by extreme weather fluctuations and collection of samples for geological analysis
M4963514,Dust in the Wind,2045-09-17,,E2676502,E4232170,Deployment of a satellite system to observe dust patterns and movement across the planet
M6524479,Tropic Venture,2073-04-28,2074-07-19,E5502287,E7947414,A ground expediton to assess potential for desert agriculture and test growth of drought resistant produce
M9354170,Frozen Fury,2050-07-10,2051-01-03,E7843495,E4232170,A scientific mission to measure seismic activity and investigate the cause of severe weather shifts
M5618859,Icy Expanse,2067-11-08,,E3357916,E0162206,A mission to study the composition of ice deposits and their potential use in resource recovery
M2729020,Glacier Roads,2039-09-01,2042-02-13,E1783092,E7947414,A mission exploring the possibility of constructing roads made of ice and the effects of temperature change in construction and maintenance
M5633985,Bog Beast,2044-06-29,,E8541698,E0162206,"Observation mission of the dangerous predator, the Bog Beast"
M4250325,Mosiack Marsh,2058-12-12,2060-05-22,E3487347,E4232170,"A muddy mission where elite researchers obtain samples of the swampy vegetation, water, and creatures to document the complex ecosystem"
M6480988,Venomous Vibe,2065-09-15,2067-03-08,E6793306,E7947414,A mission examining the toxicity of the various creatures on the planet in defense and for potential use in toxicology and pharmacology
